Year;Date;Time;Round;Stadium;City;Country;Team;Team G;Opponent;Opponent G;Observation
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Luigi Ferraris;"Genoa ";Italy;Spain;3;Brazil;1;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Nazionale PNF;"Rome ";Italy;Italy;7;USA;1;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Nazionale PNF;"Rome ";Italy;USA;1;Italy;7;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;San Siro;"Milan ";Italy;Netherlands;2;Switzerland;3;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;San Siro;"Milan ";Italy;Switzerland;3;Netherlands;2;" "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Stadio Benito Mussolini;"Turin ";Italy;Austria;3;France;2;"Austria win after extra time "
1934;1934-05-27 00:00:00.000;" 16:30 ";Preliminary round;Stadio Benito Mussolini;"Turin ";Italy;France;2;Austria;3;"Austria win after extra time "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Giovanni Berta;"Florence ";Italy;Italy;1;Spain;1;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Giovanni Berta;"Florence ";Italy;Spain;1;Italy;1;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Littorale;"Bologna ";Italy;Austria;2;Hungary;1;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Littorale;"Bologna ";Italy;Hungary;1;Austria;2;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;San Siro;"Milan ";Italy;Germany;2;Sweden;1;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;San Siro;"Milan ";Italy;Sweden;1;Germany;2;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Stadio Benito Mussolini;"Turin ";Italy;Czechoslovakia;3;Switzerland;2;" "
1934;1934-05-31 00:00:00.000;" 16:30 ";Quarter-finals;Stadio Benito Mussolini;"Turin ";Italy;Switzerland;2;Czechoslovakia;3;" "
1934;1934-06-01 00:00:00.000;" 16:30 ";Quarter-finals;Giovanni Berta;"Florence ";Italy;Italy;1;Spain;0;" "
1934;1934-06-01 00:00:00.000;" 16:30 ";Quarter-finals;Giovanni Berta;"Florence ";Italy;Spain;0;Italy;1;" "
