Year;Date;Time;Round;Stadium;City;Country;HomeTeam;HomeGoals;AwayGoals;AwayTeam;Observation
1966;1966-07-23 00:00:00.000;" 15:00 ";Quarter-finals;Hillsborough;"Sheffield ";England;Germany FR;4;0;Uruguay;" "
1966;1966-07-23 00:00:00.000;" 15:00 ";Quarter-finals;Roker Park Ground;"Sunderland ";England;Soviet Union;2;1;Hungary;" "
1966;1966-07-23 00:00:00.000;" 15:00 ";Quarter-finals;Goodison Park;"Liverpool ";England;Portugal;5;3;Korea DPR;" "
1966;1966-07-25 00:00:00.000;" 19:30 ";Semi-finals;Goodison Park;"Liverpool ";England;Germany FR;2;1;Soviet Union;" "
1966;1966-07-26 00:00:00.000;" 19:30 ";Semi-finals;Wembley Stadium;"London ";England;England;2;1;Portugal;" "
1966;1966-07-28 00:00:00.000;" 19:30 ";Match for third place;Wembley Stadium;"London ";England;Portugal;2;1;Soviet Union;" "
1966;1966-07-30 00:00:00.000;" 15:00 ";Final;Wembley Stadium;"London ";England;England;4;2;Germany FR;"England win after extra time "
1970;1970-05-31 00:00:00.000;" 12:00 ";Group 1;Estadio Azteca;"Mexico City ";Mexico;Mexico;0;0;Soviet Union;" "
1970;1970-06-02 00:00:00.000;" 16:00 ";Group 2;Cuauhtemoc;"Puebla ";Mexico;Uruguay;2;0;Israel;" "
1970;1970-06-02 00:00:00.000;" 16:00 ";Group 4;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Peru;3;2;Bulgaria;" "
1970;1970-06-02 00:00:00.000;" 16:00 ";Group 3;Jalisco;"Guadalajara ";Mexico;England;1;0;Romania;" "
1970;1970-06-03 00:00:00.000;" 16:00 ";Group 2;Luis Dosal;"Toluca ";Mexico;Italy;1;0;Sweden;" "
1970;1970-06-03 00:00:00.000;" 16:00 ";Group 4;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Germany FR;2;1;Morocco;" "
1970;1970-06-03 00:00:00.000;" 16:00 ";Group 3;Jalisco;"Guadalajara ";Mexico;Brazil;4;1;Czechoslovakia;" "
1970;1970-06-03 00:00:00.000;" 16:00 ";Group 1;Estadio Azteca;"Mexico City ";Mexico;Belgium;3;0;El Salvador;" "
1970;1970-06-06 00:00:00.000;" 16:00 ";Group 2;Cuauhtemoc;"Puebla ";Mexico;Uruguay;0;0;Italy;" "
1970;1970-06-06 00:00:00.000;" 16:00 ";Group 4;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Peru;3;0;Morocco;" "
1970;1970-06-06 00:00:00.000;" 16:00 ";Group 3;Jalisco;"Guadalajara ";Mexico;Romania;2;1;Czechoslovakia;" "
1970;1970-06-06 00:00:00.000;" 16:00 ";Group 1;Estadio Azteca;"Mexico City ";Mexico;Soviet Union;4;1;Belgium;" "
1970;1970-06-07 00:00:00.000;" 12:00 ";Group 2;Luis Dosal;"Toluca ";Mexico;Sweden;1;1;Israel;" "
1970;1970-06-07 00:00:00.000;" 12:00 ";Group 4;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Germany FR;5;2;Bulgaria;" "
1970;1970-06-07 00:00:00.000;" 12:00 ";Group 3;Jalisco;"Guadalajara ";Mexico;Brazil;1;0;England;" "
1970;1970-06-07 00:00:00.000;" 12:00 ";Group 1;Estadio Azteca;"Mexico City ";Mexico;Mexico;4;0;El Salvador;" "
1970;1970-06-10 00:00:00.000;" 16:00 ";Group 2;Cuauhtemoc;"Puebla ";Mexico;Sweden;1;0;Uruguay;" "
1970;1970-06-10 00:00:00.000;" 16:00 ";Group 4;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Germany FR;3;1;Peru;" "
1970;1970-06-10 00:00:00.000;" 16:00 ";Group 3;Jalisco;"Guadalajara ";Mexico;Brazil;3;2;Romania;" "
1970;1970-06-10 00:00:00.000;" 16:00 ";Group 1;Estadio Azteca;"Mexico City ";Mexico;Soviet Union;2;0;El Salvador;" "
1970;1970-06-11 00:00:00.000;" 16:00 ";Group 2;Luis Dosal;"Toluca ";Mexico;Italy;0;0;Israel;" "
1970;1970-06-11 00:00:00.000;" 16:00 ";Group 4;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Bulgaria;1;1;Morocco;" "
1970;1970-06-11 00:00:00.000;" 16:00 ";Group 3;Jalisco;"Guadalajara ";Mexico;England;1;0;Czechoslovakia;" "
1970;1970-06-11 00:00:00.000;" 16:00 ";Group 1;Estadio Azteca;"Mexico City ";Mexico;Mexico;1;0;Belgium;" "
1970;1970-06-14 00:00:00.000;" 12:00 ";Quarter-finals;Luis Dosal;"Toluca ";Mexico;Italy;4;1;Mexico;" "
1970;1970-06-14 00:00:00.000;" 12:00 ";Quarter-finals;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Germany FR;3;2;England;"Germany FR win after extra time "
1970;1970-06-14 00:00:00.000;" 12:00 ";Quarter-finals;Jalisco;"Guadalajara ";Mexico;Brazil;4;2;Peru;" "
1970;1970-06-14 00:00:00.000;" 12:00 ";Quarter-finals;Estadio Azteca;"Mexico City ";Mexico;Uruguay;1;0;Soviet Union;"Uruguay win after extra time "
1970;1970-06-17 00:00:00.000;" 16:00 ";Semi-finals;Jalisco;"Guadalajara ";Mexico;Brazil;3;1;Uruguay;" "
1970;1970-06-17 00:00:00.000;" 16:00 ";Semi-finals;Estadio Azteca;"Mexico City ";Mexico;Italy;4;3;Germany FR;"Italy win after extra time "
1970;1970-06-20 00:00:00.000;" 16:00 ";Match for third place;Estadio Azteca;"Mexico City ";Mexico;Germany FR;1;0;Uruguay;" "
1970;1970-06-21 00:00:00.000;" 12:00 ";Final;Estadio Azteca;"Mexico City ";Mexico;Brazil;4;1;Italy;" "
1974;1974-06-13 00:00:00.000;" 17:00 ";Group 2;Waldstadion;"Frankfurt/Main ";Germany;Brazil;0;0;Yugoslavia;" "
1974;1974-06-14 00:00:00.000;" 16:00 ";Group 1;Olympiastadion;"Berlin West ";Germany;Germany FR;1;0;Chile;" "
1974;1974-06-14 00:00:00.000;" 19:30 ";Group 1;Volksparkstadion;"Hamburg ";Germany;German DR;2;0;Australia;" "
1974;1974-06-14 00:00:00.000;" 19:30 ";Group 2;Westfalenstadion;"Dortmund ";Germany;Zaire;0;2;Scotland;" "
1974;1974-06-15 00:00:00.000;" 16:00 ";Group 3;Niedersachsenstadion;"Hanover ";Germany;Uruguay;0;2;Netherlands;" "
1974;1974-06-15 00:00:00.000;" 16:00 ";Group 3;Rheinstadion;"Dï¿½Sseldorf ";Germany;Sweden;0;0;Bulgaria;" "
1974;1974-06-15 00:00:00.000;" 18:00 ";Group 4;Olympiastadion;"Munich ";Germany;Italy;3;1;Haiti;" "
1974;1974-06-15 00:00:00.000;" 18:00 ";Group 4;Neckarstadion;"Stuttgart ";Germany;Poland;3;2;Argentina;" "
1974;1974-06-18 00:00:00.000;" 16:00 ";Group 1;Volksparkstadion;"Hamburg ";Germany;Australia;0;3;Germany FR;" "
1974;1974-06-18 00:00:00.000;" 19:30 ";Group 2;Waldstadion;"Frankfurt/Main ";Germany;Scotland;0;0;Brazil;" "
1974;1974-06-18 00:00:00.000;" 19:30 ";Group 1;Olympiastadion;"Berlin West ";Germany;Chile;1;1;German DR;" "
1974;1974-06-18 00:00:00.000;" 19:30 ";Group 2;Parkstadion;"Gelsenkirchen ";Germany;Yugoslavia;9;0;Zaire;" "
1974;1974-06-19 00:00:00.000;" 19:30 ";Group 3;Westfalenstadion;"Dortmund ";Germany;Netherlands;0;0;Sweden;" "
1974;1974-06-19 00:00:00.000;" 19:30 ";Group 3;Niedersachsenstadion;"Hanover ";Germany;Bulgaria;1;1;Uruguay;" "
1974;1974-06-19 00:00:00.000;" 19:30 ";Group 4;Olympiastadion;"Munich ";Germany;Haiti;0;7;Poland;" "
1974;1974-06-19 00:00:00.000;" 19:30 ";Group 4;Neckarstadion;"Stuttgart ";Germany;Argentina;1;1;Italy;" "
1974;1974-06-22 00:00:00.000;" 16:00 ";Group 2;Waldstadion;"Frankfurt/Main ";Germany;Scotland;1;1;Yugoslavia;" "
1974;1974-06-22 00:00:00.000;" 16:00 ";Group 1;Olympiastadion;"Berlin West ";Germany;Australia;0;0;Chile;" "
1974;1974-06-22 00:00:00.000;" 16:00 ";Group 2;Parkstadion;"Gelsenkirchen ";Germany;Zaire;0;3;Brazil;" "
1974;1974-06-22 00:00:00.000;" 19:30 ";Group 1;Volksparkstadion;"Hamburg ";Germany;German DR;1;0;Germany FR;" "
1974;1974-06-23 00:00:00.000;" 16:00 ";Group 3;Westfalenstadion;"Dortmund ";Germany;Bulgaria;1;4;Netherlands;" "
1974;1974-06-23 00:00:00.000;" 16:00 ";Group 4;Olympiastadion;"Munich ";Germany;Argentina;4;1;Haiti;" "
1974;1974-06-23 00:00:00.000;" 16:00 ";Group 3;Rheinstadion;"Dï¿½Sseldorf ";Germany;Sweden;3;0;Uruguay;" "
1974;1974-06-23 00:00:00.000;" 16:00 ";Group 4;Neckarstadion;"Stuttgart ";Germany;Poland;2;1;Italy;" "
1974;1974-06-26 00:00:00.000;" 16:00 ";Group B;Rheinstadion;"Dï¿½Sseldorf ";Germany;Yugoslavia;0;2;Germany FR;" "
1974;1974-06-26 00:00:00.000;" 19:30 ";Group A;Niedersachsenstadion;"Hanover ";Germany;Brazil;1;0;German DR;" "
1974;1974-06-26 00:00:00.000;" 19:30 ";Group A;Parkstadion;"Gelsenkirchen ";Germany;Netherlands;4;0;Argentina;" "
1974;1974-06-26 00:00:00.000;" 19:30 ";Group B;Neckarstadion;"Stuttgart ";Germany;Sweden;0;1;Poland;" "
1974;1974-06-30 00:00:00.000;" 16:00 ";Group A;Niedersachsenstadion;"Hanover ";Germany;Argentina;1;2;Brazil;" "
1974;1974-06-30 00:00:00.000;" 16:00 ";Group B;Waldstadion;"Frankfurt/Main ";Germany;Poland;2;1;Yugoslavia;" "
1974;1974-06-30 00:00:00.000;" 16:00 ";Group A;Parkstadion;"Gelsenkirchen ";Germany;German DR;0;2;Netherlands;" "
1974;1974-06-30 00:00:00.000;" 19:30 ";Group B;Rheinstadion;"Dï¿½Sseldorf ";Germany;Germany FR;4;2;Sweden;" "
1974;1974-07-03 00:00:00.000;" 17:00 ";Group B;Waldstadion;"Frankfurt/Main ";Germany;Poland;0;1;Germany FR;" "
1974;1974-07-03 00:00:00.000;" 19:30 ";Group A;Westfalenstadion;"Dortmund ";Germany;Netherlands;2;0;Brazil;" "
1974;1974-07-03 00:00:00.000;" 19:30 ";Group A;Parkstadion;"Gelsenkirchen ";Germany;Argentina;1;1;German DR;" "
1974;1974-07-03 00:00:00.000;" 19:30 ";Group B;Rheinstadion;"Dï¿½Sseldorf ";Germany;Sweden;2;1;Yugoslavia;" "
1974;1974-07-06 00:00:00.000;" 16:00 ";Match for third place;Olympiastadion;"Munich ";Germany;Brazil;0;1;Poland;" "
1974;1974-07-07 00:00:00.000;" 16:00 ";Final;Olympiastadion;"Munich ";Germany;Netherlands;1;2;Germany FR;" "
1978;1978-06-01 00:00:00.000;" 15:00 ";Group 2;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Germany FR;0;0;Poland;" "
1978;1978-06-02 00:00:00.000;" 13:45 ";Group 1;Estadio Josï¿½ Marï¿½a Minella;"Mar Del Plata ";Argentina;Italy;2;1;France;" "
1978;1978-06-02 00:00:00.000;" 16:45 ";Group 2;Arroyito - Estadio Dr. Lisandro de la Torre;"Rosario ";Argentina;Tunisia;3;1;Mexico;" "
1978;1978-06-02 00:00:00.000;" 19:15 ";Group 1;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Argentina;2;1;Hungary;" "
1978;1978-06-03 00:00:00.000;" 13:45 ";Group 3;Estadio Josï¿½ Marï¿½a Minella;"Mar Del Plata ";Argentina;Sweden;1;1;Brazil;" "
1978;1978-06-03 00:00:00.000;" 13:45 ";Group 3;Jose Amalfitani;"Buenos Aires ";Argentina;Austria;2;1;Spain;" "
1978;1978-06-03 00:00:00.000;" 16:45 ";Group 4;Estadio Olï¿½mpico Chateau Carreras;"Cordoba ";Argentina;Peru;3;1;Scotland;" "
1978;1978-06-03 00:00:00.000;" 16:45 ";Group 4;San Martin;"Mendoza ";Argentina;Netherlands;3;0;IR Iran;" "
1978;1978-06-06 00:00:00.000;" 13:45 ";Group 1;Estadio Josï¿½ Marï¿½a Minella;"Mar Del Plata ";Argentina;Italy;3;1;Hungary;" "
1978;1978-06-06 00:00:00.000;" 16:45 ";Group 2;Arroyito - Estadio Dr. Lisandro de la Torre;"Rosario ";Argentina;Poland;1;0;Tunisia;" "
1978;1978-06-06 00:00:00.000;" 16:45 ";Group 2;Estadio Olï¿½mpico Chateau Carreras;"Cordoba ";Argentina;Germany FR;6;0;Mexico;" "
1978;1978-06-06 00:00:00.000;" 19:15 ";Group 1;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Argentina;2;1;France;" "
1978;1978-06-07 00:00:00.000;" 13:45 ";Group 3;Estadio Josï¿½ Marï¿½a Minella;"Mar Del Plata ";Argentina;Brazil;0;0;Spain;" "
1978;1978-06-07 00:00:00.000;" 13:45 ";Group 3;Jose Amalfitani;"Buenos Aires ";Argentina;Austria;1;0;Sweden;" "
1978;1978-06-07 00:00:00.000;" 16:45 ";Group 4;Estadio Olï¿½mpico Chateau Carreras;"Cordoba ";Argentina;Scotland;1;1;IR Iran;" "
1978;1978-06-07 00:00:00.000;" 16:45 ";Group 4;San Martin;"Mendoza ";Argentina;Netherlands;0;0;Peru;" "
1978;1978-06-10 00:00:00.000;" 15:10 ";Group 1;Estadio Josï¿½ Marï¿½a Minella;"Mar Del Plata ";Argentina;France;3;1;Hungary;" "
1978;1978-06-10 00:00:00.000;" 16:45 ";Group 2;Arroyito - Estadio Dr. Lisandro de la Torre;"Rosario ";Argentina;Poland;3;1;Mexico;" "
1978;1978-06-10 00:00:00.000;" 16:45 ";Group 2;Estadio Olï¿½mpico Chateau Carreras;"Cordoba ";Argentina;Germany FR;0;0;Tunisia;" "
1978;1978-06-10 00:00:00.000;" 19:15 ";Group 1;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Italy;1;0;Argentina;" "
1978;1978-06-11 00:00:00.000;" 13:45 ";Group 3;Estadio Josï¿½ Marï¿½a Minella;"Mar Del Plata ";Argentina;Brazil;1;0;Austria;" "
1978;1978-06-11 00:00:00.000;" 13:45 ";Group 3;Jose Amalfitani;"Buenos Aires ";Argentina;Spain;1;0;Sweden;" "
1978;1978-06-11 00:00:00.000;" 16:45 ";Group 4;Estadio Olï¿½mpico Chateau Carreras;"Cordoba ";Argentina;Peru;4;1;Iran;" "
1978;1978-06-11 00:00:00.000;" 16:45 ";Group 4;San Martin;"Mendoza ";Argentina;Scotland;3;2;Netherlands;" "
1978;1978-06-14 00:00:00.000;" 13:45 ";Group A;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Germany FR;0;0;Italy;" "
1978;1978-06-14 00:00:00.000;" 13:45 ";Group A;Estadio Olï¿½mpico Chateau Carreras;"Cordoba ";Argentina;Netherlands;5;1;Austria;" "
1978;1978-06-14 00:00:00.000;" 16:45 ";Group B;San Martin;"Mendoza ";Argentina;Brazil;3;0;Peru;" "
1978;1978-06-14 00:00:00.000;" 19:15 ";Group B;Arroyito - Estadio Dr. Lisandro de la Torre;"Rosario ";Argentina;Argentina;2;0;Poland;" "
1978;1978-06-18 00:00:00.000;" 13:45 ";Group B;San Martin;"Mendoza ";Argentina;Poland;1;0;Peru;" "
1978;1978-06-18 00:00:00.000;" 16:45 ";Group A;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Italy;1;0;Austria;" "
1978;1978-06-18 00:00:00.000;" 16:45 ";Group A;Estadio Olï¿½mpico Chateau Carreras;"Cordoba ";Argentina;Germany FR;2;2;Netherlands;" "
1978;1978-06-18 00:00:00.000;" 19:15 ";Group B;Arroyito - Estadio Dr. Lisandro de la Torre;"Rosario ";Argentina;Argentina;0;0;Brazil;" "
1978;1978-06-21 00:00:00.000;" 13:45 ";Group A;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Netherlands;2;1;Italy;" "
1978;1978-06-21 00:00:00.000;" 13:45 ";Group A;Estadio Olï¿½mpico Chateau Carreras;"Cordoba ";Argentina;Austria;3;2;Germany FR;" "
1978;1978-06-21 00:00:00.000;" 16:45 ";Group B;San Martin;"Mendoza ";Argentina;Brazil;3;1;Poland;" "
1978;1978-06-21 00:00:00.000;" 19:15 ";Group B;Arroyito - Estadio Dr. Lisandro de la Torre;"Rosario ";Argentina;Argentina;6;0;Peru;" "
1978;1978-06-24 00:00:00.000;" 15:00 ";Match for third place;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Brazil;2;1;Italy;" "
1978;1978-06-25 00:00:00.000;" 15:00 ";Final;El Monumental - Estadio Monumental Antonio Vespuci;"Buenos Aires ";Argentina;Argentina;3;1;Netherlands;"Argentina win after extra time "
1982;1982-06-13 00:00:00.000;" 20:00 ";Group 3;Camp Nou;"Barcelona ";Spain;Argentina;0;1;Belgium;" "
1982;1982-06-14 00:00:00.000;" 17:15 ";Group 1;Estadio Municipal de Balaï¿½dos;"Vigo ";Spain;Italy;0;0;Poland;" "
1982;1982-06-14 00:00:00.000;" 21:00 ";Group 6;Ramon Sanchez Pizjuan;"Seville ";Spain;Brazil;2;1;Soviet Union;" "
1982;1982-06-15 00:00:00.000;" 17:15 ";Group 1;Riazor;"La Coruï¿½A ";Spain;Peru;0;0;Cameroon;" "
1982;1982-06-15 00:00:00.000;" 21:00 ";Group 3;Nuevo Estadio;"Elche ";Spain;Hungary;10;1;El Salvador;" "
1982;1982-06-15 00:00:00.000;" 21:00 ";Group 6;La Rosaleda;"Malaga ";Spain;Scotland;5;2;New Zealand;" "
1982;1982-06-16 00:00:00.000;" 17:15 ";Group 2;El Molinon;"Gijon ";Spain;Germany FR;1;2;Algeria;" "
1982;1982-06-16 00:00:00.000;" 17:15 ";Group 4;San Mames;"Bilbao ";Spain;England;3;1;France;" "
1982;1982-06-16 00:00:00.000;" 21:00 ";Group 5;Luis Casanova;"Valencia ";Spain;Spain;1;1;Honduras;" "
1982;1982-06-17 00:00:00.000;" 17:15 ";Group 2;Carlos Tartiere;"Oviedo ";Spain;Chile;0;1;Austria;" "
1982;1982-06-17 00:00:00.000;" 17:45 ";Group 4;Jose Zorrilla;"Valladolid ";Spain;Czechoslovakia;1;1;Kuwait;" "
1982;1982-06-17 00:00:00.000;" 21:00 ";Group 5;La Romareda;"Zaragoza ";Spain;Yugoslavia;0;0;Northern Ireland;" "
1982;1982-06-18 00:00:00.000;" 17:15 ";Group 1;Estadio Municipal de Balaï¿½dos;"Vigo ";Spain;Italy;1;1;Peru;" "
1982;1982-06-18 00:00:00.000;" 21:00 ";Group 3;Jose Rico Perez;"Alicante ";Spain;Argentina;4;1;Hungary;" "
1982;1982-06-18 00:00:00.000;" 21:00 ";Group 6;Benito Villamarin;"Seville ";Spain;Brazil;4;1;Scotland;" "
1982;1982-06-19 00:00:00.000;" 19:15 ";Group 1;Riazor;"La Coruï¿½A ";Spain;Poland;0;0;Cameroon;" "
1982;1982-06-19 00:00:00.000;" 21:00 ";Group 3;Nuevo Estadio;"Elche ";Spain;Belgium;1;0;El Salvador;" "
1982;1982-06-19 00:00:00.000;" 21:00 ";Group 6;La Rosaleda;"Malaga ";Spain;Soviet Union;3;0;New Zealand;" "
1982;1982-06-20 00:00:00.000;" 17:15 ";Group 2;El Molinon;"Gijon ";Spain;Germany FR;4;1;Chile;" "
1982;1982-06-20 00:00:00.000;" 17:15 ";Group 4;San Mames;"Bilbao ";Spain;England;2;0;Czechoslovakia;" "
1982;1982-06-20 00:00:00.000;" 21:00 ";Group 5;Luis Casanova;"Valencia ";Spain;Spain;2;1;Yugoslavia;" "
1982;1982-06-21 00:00:00.000;" 17:15 ";Group 2;Carlos Tartiere;"Oviedo ";Spain;Algeria;0;2;Austria;" "
1982;1982-06-21 00:00:00.000;" 17:15 ";Group 4;Jose Zorrilla;"Valladolid ";Spain;France;4;1;Kuwait;" "
1982;1982-06-21 00:00:00.000;" 21:00 ";Group 5;La Romareda;"Zaragoza ";Spain;Honduras;1;1;Northern Ireland;" "
1982;1982-06-22 00:00:00.000;" 17:15 ";Group 1;Riazor;"La Coruï¿½A ";Spain;Poland;5;1;Peru;" "
1982;1982-06-22 00:00:00.000;" 21:00 ";Group 3;Nuevo Estadio;"Elche ";Spain;Belgium;1;1;Hungary;" "
1982;1982-06-22 00:00:00.000;" 21:00 ";Group 6;La Rosaleda;"Malaga ";Spain;Soviet Union;2;2;Scotland;" "
1982;1982-06-23 00:00:00.000;" 17:15 ";Group 1;Estadio Municipal de Balaï¿½dos;"Vigo ";Spain;Italy;1;1;Cameroon;" "
1982;1982-06-23 00:00:00.000;" 21:00 ";Group 3;Jose Rico Perez;"Alicante ";Spain;Argentina;2;0;El Salvador;" "
1982;1982-06-23 00:00:00.000;" 21:00 ";Group 6;Benito Villamarin;"Seville ";Spain;Brazil;4;0;New Zealand;" "
1982;1982-06-24 00:00:00.000;" 17:15 ";Group 2;Carlos Tartiere;"Oviedo ";Spain;Algeria;3;2;Chile;" "
1982;1982-06-24 00:00:00.000;" 17:15 ";Group 4;Jose Zorrilla;"Valladolid ";Spain;France;1;1;Czechoslovakia;" "
1982;1982-06-24 00:00:00.000;" 21:00 ";Group 5;La Romareda;"Zaragoza ";Spain;Honduras;0;1;Yugoslavia;" "
1982;1982-06-25 00:00:00.000;" 17:15 ";Group 2;El Molinon;"Gijon ";Spain;Germany FR;1;0;Austria;" "
1982;1982-06-25 00:00:00.000;" 17:15 ";Group 4;San Mames;"Bilbao ";Spain;England;1;0;Kuwait;" "
1982;1982-06-25 00:00:00.000;" 21:00 ";Group 5;Luis Casanova;"Valencia ";Spain;Northern Ireland;1;0;Spain;" "
1982;1982-06-28 00:00:00.000;" 17:15 ";Group 4;Vicente Calderon;"Madrid ";Spain;Austria;0;1;France;" "
1982;1982-06-28 00:00:00.000;" 21:00 ";Group 1;Camp Nou;"Barcelona ";Spain;Poland;3;0;Belgium;" "
1982;1982-06-29 00:00:00.000;" 17:15 ";Group 3;Sarria;"Barcelona ";Spain;Italy;2;1;Argentina;" "
1982;1982-06-29 00:00:00.000;" 21:00 ";Group 2;Santiago Bernabeu;"Madrid ";Spain;Germany FR;0;0;England;" "
1982;1982-07-01 00:00:00.000;" 17:15 ";Group 4;Vicente Calderon;"Madrid ";Spain;Austria;2;2;Northern Ireland;" "
1982;1982-07-01 00:00:00.000;" 21:00 ";Group 1;Camp Nou;"Barcelona ";Spain;Belgium;0;1;Soviet Union;" "
1982;1982-07-02 00:00:00.000;" 17:15 ";Group 3;Sarria;"Barcelona ";Spain;Argentina;1;3;Brazil;" "
1982;1982-07-02 00:00:00.000;" 21:00 ";Group 2;Santiago Bernabeu;"Madrid ";Spain;Germany FR;2;1;Spain;" "
1982;1982-07-04 00:00:00.000;" 17:15 ";Group 4;Vicente Calderon;"Madrid ";Spain;France;4;1;Northern Ireland;" "
1982;1982-07-04 00:00:00.000;" 21:00 ";Group 1;Camp Nou;"Barcelona ";Spain;Poland;0;0;Soviet Union;" "
1982;1982-07-05 00:00:00.000;" 17:15 ";Group 3;Sarria;"Barcelona ";Spain;Italy;3;2;Brazil;" "
1982;1982-07-05 00:00:00.000;" 21:00 ";Group 2;Santiago Bernabeu;"Madrid ";Spain;Spain;0;0;England;" "
1982;1982-07-08 00:00:00.000;" 17:15 ";Semi-finals;Camp Nou;"Barcelona ";Spain;Poland;0;2;Italy;" "
1982;1982-07-08 00:00:00.000;" 21:00 ";Semi-finals;Ramon Sanchez Pizjuan;"Seville ";Spain;Germany FR;3;3;France;" win on penalties (5 - 4) "
1982;1982-07-10 00:00:00.000;" 20:00 ";Match for third place;Jose Rico Perez;"Alicante ";Spain;Poland;3;2;France;" "
1982;1982-07-11 00:00:00.000;" 20:00 ";Final;Santiago Bernabeu;"Madrid ";Spain;Italy;3;1;Germany FR;" "
1986;1986-05-31 00:00:00.000;" 12:00 ";Group A;Estadio Azteca;"Mexico City ";Mexico;Bulgaria;1;1;Italy;" "
1986;1986-06-01 00:00:00.000;" 16:00 ";Group C;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Canada;0;1;France;" "
1986;1986-06-01 00:00:00.000;" 12:00 ";Group D;Jalisco;"Guadalajara ";Mexico;Spain;0;1;Brazil;" "
1986;1986-06-02 00:00:00.000;" 12:00 ";Group C;Estadio Irapuato;"Irapuato ";Mexico;Soviet Union;6;0;Hungary;" "
1986;1986-06-02 00:00:00.000;" 12:00 ";Group A;Estadio Olï¿½mpico Universitario;"Mexico City ";Mexico;Argentina;3;1;Korea Republic;" "
1986;1986-06-02 00:00:00.000;" 16:00 ";Group F;Estadio Universitario;"Monterrey ";Mexico;Morocco;0;0;Poland;" "
1986;1986-06-03 00:00:00.000;" 12:00 ";Group D;Tres de Marzo;"Guadalajara ";Mexico;Algeria;1;1;Northern Ireland;" "
1986;1986-06-03 00:00:00.000;" 12:00 ";Group B;Estadio Azteca;"Mexico City ";Mexico;Belgium;1;2;Mexico;" "
1986;1986-06-03 00:00:00.000;" 16:00 ";Group F;Tecnologico;"Monterrey ";Mexico;Portugal;1;0;England;" "
1986;1986-06-04 00:00:00.000;" 12:00 ";Group B;Bombonera - Estadio Nemesio Diez;"Toluca ";Mexico;Paraguay;1;0;Iraq;" "
1986;1986-06-04 00:00:00.000;" 16:00 ";Group E;Neza;"Nezahualcoyotl ";Mexico;Scotland;0;1;Denmark;" "
1986;1986-06-04 00:00:00.000;" 12:00 ";Group E;Estadio Corregidora;"Queretaro ";Mexico;Uruguay;1;1;Germany FR;" "
1986;1986-06-05 00:00:00.000;" 12:00 ";Group A;Cuauhtemoc;"Puebla ";Mexico;Italy;1;1;Argentina;" "
1986;1986-06-05 00:00:00.000;" 12:00 ";Group C;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;France;1;1;Soviet Union;" "
1986;1986-06-05 00:00:00.000;" 16:00 ";Group A;Estadio Olï¿½mpico Universitario;"Mexico City ";Mexico;Korea Republic;1;1;Bulgaria;" "
1986;1986-06-06 00:00:00.000;" 12:00 ";Group C;Estadio Irapuato;"Irapuato ";Mexico;Hungary;2;0;Canada;" "
1986;1986-06-06 00:00:00.000;" 12:00 ";Group D;Jalisco;"Guadalajara ";Mexico;Brazil;1;0;Algeria;" "
1986;1986-06-06 00:00:00.000;" 16:00 ";Group F;Tecnologico;"Monterrey ";Mexico;England;0;0;Morocco;" "
1986;1986-06-07 00:00:00.000;" 12:00 ";Group D;Tres de Marzo;"Guadalajara ";Mexico;Northern Ireland;1;2;Spain;" "
1986;1986-06-07 00:00:00.000;" 12:00 ";Group B;Estadio Azteca;"Mexico City ";Mexico;Mexico;1;1;Paraguay;" "
1986;1986-06-07 00:00:00.000;" 16:00 ";Group F;Estadio Universitario;"Monterrey ";Mexico;Poland;1;0;Portugal;" "
1986;1986-06-08 00:00:00.000;" 12:00 ";Group B;Bombonera - Estadio Nemesio Diez;"Toluca ";Mexico;Iraq;1;2;Belgium;" "
1986;1986-06-08 00:00:00.000;" 16:00 ";Group E;Neza;"Nezahualcoyotl ";Mexico;Denmark;6;1;Uruguay;" "
1986;1986-06-08 00:00:00.000;" 12:00 ";Group E;Estadio Corregidora;"Queretaro ";Mexico;Germany FR;2;1;Scotland;" "
1986;1986-06-09 00:00:00.000;" 12:00 ";Group C;Nou Camp - Estadio Leï¿½n;"Leon ";Mexico;Hungary;0;3;France;" "
